epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.4309,4.76132,6.78877,2.9115,0.00167,0.28571,0.00112,0.00011,4.0465,4.91583,0.988,4e-05,4e-05,4e-05
2,21.3624,4.03971,5.6106,2.00836,0.005,0.85714,0.04937,0.01397,2.92908,4.00002,4.13493,9.802e-05,9.802e-05,9.802e-05
3,31.1287,3.2583,4.59772,1.93612,0.00583,1,0.2925,0.07733,2.57418,3.81679,5.06645,0.000153664,0.000153664,0.000153664
4,45.5139,2.82144,4.03446,1.69843,0.00583,1,0.47242,0.0855,2.55087,3.79466,6.35559,0.000206932,0.000206932,0.000206932
5,65.8397,2.03686,3.21401,1.50616,0.00583,1,0.54407,0.17451,2.51062,3.70549,8.57272,0.000257824,0.000257824,0.000257824
6,77.3911,2.57569,3.36871,1.66405,0.00583,1,0.44317,0.19615,2.07153,3.43375,9.03292,0.00030634,0.00030634,0.00030634
7,88.9598,2.18766,3.61001,1.54321,0.005,0.85714,0.07483,0.01273,3.05419,4.07685,2.43018,0.00035248,0.00035248,0.00035248
8,99.4877,2.16671,3.86248,1.50274,0.00583,1,0.17256,0.04475,3.00484,4.45175,3.71204,0.000396244,0.000396244,0.000396244
9,110.133,2.04997,3.58109,1.35815,0.00583,1,0.17256,0.04475,3.00484,4.45175,3.71204,0.000437632,0.000437632,0.000437632
10,121.52,2.612,3.28138,1.47718,0.005,0.85714,0.29604,0.04158,3.66693,5.16442,3.17786,0.000476644,0.000476644,0.000476644
11,133.24,1.84973,2.70145,1.43058,0.005,0.85714,0.29604,0.04158,3.66693,5.16442,3.17786,0.00051328,0.00051328,0.00051328
12,146.119,2.14467,3.15155,1.42342,0.005,0.85714,0.60537,0.07014,3.67339,4.20127,3.81667,0.00054754,0.00054754,0.00054754
13,158.334,1.92935,3.02122,1.41489,0.005,0.85714,0.60537,0.07014,3.67339,4.20127,3.81667,0.000579424,0.000579424,0.000579424
14,170.984,2.36991,3.0271,1.33773,0.005,0.85714,0.27411,0.07174,3.19518,3.90333,2.43536,0.000608932,0.000608932,0.000608932
15,184.183,1.94496,2.84462,1.48969,0.005,0.85714,0.27411,0.07174,3.19518,3.90333,2.43536,0.000636064,0.000636064,0.000636064
16,199.53,2.6453,6.46456,1.5808,0.005,0.85714,0.27411,0.07174,3.19518,3.90333,2.43536,0.00066082,0.00066082,0.00066082
17,213.898,1.82128,2.57959,1.45001,0.00583,1,0.29994,0.04965,3.06431,4.17008,1.89759,0.0006832,0.0006832,0.0006832
18,228.984,2.1834,2.58844,1.43116,0.00583,1,0.29994,0.04965,3.06431,4.17008,1.89759,0.000703204,0.000703204,0.000703204
19,239.61,1.87452,2.97108,1.37194,0.00583,1,0.29994,0.04965,3.06431,4.17008,1.89759,0.000720832,0.000720832,0.000720832
20,249.944,2.26776,3.10332,1.41649,0.00588,1,0.57532,0.35048,1.64208,3.1943,2.08674,0.000736084,0.000736084,0.000736084
21,261.607,2.17502,3.66693,1.50921,0.00588,1,0.57532,0.35048,1.64208,3.1943,2.08674,0.00074896,0.00074896,0.00074896
22,272.84,1.978,3.26707,1.29007,0.00588,1,0.57532,0.35048,1.64208,3.1943,2.08674,0.00075946,0.00075946,0.00075946
23,283.46,2.11708,2.63721,1.40639,0.00588,1,0.57532,0.35048,1.64208,3.1943,2.08674,0.000767584,0.000767584,0.000767584
24,15954.6,1.94626,2.76283,1.35746,0.06703,1,0.58044,0.29549,1.92477,3.03624,2.1992,0.000773332,0.000773332,0.000773332
25,23989.2,1.72511,2.7649,1.49139,0.06703,1,0.58044,0.29549,1.92477,3.03624,2.1992,0.000776704,0.000776704,0.000776704
